0,1,2,3,4,5,6,target
9335.0,388.8059998,160.1561584,75.16480255,0.883027077,9536.0,0.623330653,
12771.0,449.2600098,190.3573914,85.92546082,0.892326653,12939.0,0.776069522,0.0
11790.0,444.3429871,184.4224854,82.44760895,0.894504786,12103.0,0.59605664,0.0
10193.0,409.7950134,174.1696167,75.03090668,0.902451158,10377.0,0.756437838,0.0
10574.0,398.6809998,157.8083954,86.85958862,0.834893346,10829.0,0.693558991,
13507.0,468.2390137,197.5092468,87.92959595,0.895434976,13735.0,0.577222228,
11458.0,437.4410095,178.6035919,83.98284912,0.882549644,11732.0,0.762037754,0.0
13050.0,467.5220032,194.8988495,86.94762421,0.894974828,13389.0,0.619775832,0.0
13567.0,481.0950012,206.628418,84.00917053,0.913619101,13818.0,0.601107657,
12193.0,436.2850037,182.6272888,85.2556076,0.884347916,12336.0,0.68308121,
12711.0,458.7330017,188.3154297,86.86006927,0.887271404,13092.0,0.57829845,0.0
12286.0,444.8869934,183.2887115,86.73105621,0.880958438,12583.0,0.681873679,0.0
15072.0,487.5849915,202.4947357,95.35527039,0.88218528,15267.0,0.790558636,
11502.0,423.8320007,167.8920898,88.34923553,0.850344539,11770.0,0.627598643,0.0
11852.0,446.0769958,192.0542755,79.09918976,0.91124779,12029.0,0.716999412,
12219.0,436.2059937,179.4359131,87.93396759,0.871689975,12434.0,0.603407383,0.0
13789.0,471.303009,198.523468,88.712883,0.89460218,14025.0,0.631364465,0.0
13939.0,484.3930054,207.0262756,86.2234726,0.909142315,14233.0,0.642468631,
12868.0,454.8590088,191.5861511,86.5089035,0.892250657,13082.0,0.786744952,0.0
9236.0,394.3410034,160.928894,74.24967957,0.887201667,9465.0,0.577394366,
13337.0,471.8469849,199.1446686,86.46564484,0.900823712,13686.0,0.664457977,0.0
10525.0,409.7319946,170.315155,79.03762054,0.885800183,10682.0,0.606768131,0.0
10236.0,398.5379944,160.8490143,82.49160004,0.858477592,10392.0,0.795647085,0.0
12274.0,441.8529968,179.8539124,87.76013947,0.872870266,12587.0,0.615979135,0.0
15224.0,510.8819885,213.196167,92.32341003,0.901372612,15686.0,0.639529526,0.0
12349.0,452.0090027,187.9687347,84.54865265,0.893128455,12646.0,0.585760355,0.0
11211.0,410.5759888,162.8713989,88.59012604,0.839132667,11408.0,0.643422842,
11370.0,444.6879883,188.1779633,77.82491302,0.910471976,11676.0,0.588509321,0.0
14092.0,499.4169922,210.9630127,86.79673004,0.911440909,14618.0,0.772926748,
11779.0,440.9760132,191.8824768,78.73442841,0.911938787,11918.0,0.583754599,
14401.0,482.1759949,203.0722198,91.35160065,0.893105209,14608.0,0.716503322,
12086.0,438.5029907,179.4166412,86.54946899,0.875954509,12292.0,0.62947917,0.0
14500.0,504.0679932,218.9050293,85.14116669,0.921262622,14864.0,0.619896531,
10847.0,417.6700134,168.3577728,82.87084961,0.870464802,11152.0,0.624108195,
12503.0,446.3110046,177.3373718,91.1587677,0.857765317,12777.0,0.629366755,
12461.0,454.0960083,191.9145203,83.66120148,0.899980783,12683.0,0.561508656,0.0
14517.0,488.3240051,196.1644897,95.582901,0.873257518,14976.0,0.595129728,
17250.0,528.098999,220.7989349,101.2491608,0.888664365,17570.0,0.839661241,0.0
11438.0,433.9179993,178.3515625,83.5476532,0.883493364,11767.0,0.743016779,0.0
11502.0,425.9559937,173.2731934,85.45619202,0.869922996,11776.0,0.637583137,0.0
12232.0,440.4030151,175.6786804,90.06195068,0.858596742,12525.0,0.77251482,0.0
14226.0,491.3890076,213.7867126,85.35411835,0.91684258,14483.0,0.664393783,0.0
13166.0,461.9389954,185.600296,91.29359436,0.870661438,13562.0,0.656331003,0.0
15276.0,506.6849976,212.1356812,93.06375122,0.898633957,15574.0,0.579228759,
12225.0,444.1489868,190.2206116,82.50628662,0.90103811,12408.0,0.798549891,
12326.0,441.5849915,179.0663757,89.27005005,0.866872132,12673.0,0.765162349,
13834.0,480.2739868,202.7702789,87.72439575,0.90157181,14151.0,0.728105247,0.0
11063.0,418.7749939,171.6537781,83.65955353,0.873193443,11318.0,0.803413212,0.0
12912.0,459.7390137,188.7303619,88.96232605,0.881934166,13205.0,0.690481305,0.0
11771.0,430.4700012,181.3029938,83.21956635,0.888432026,11919.0,0.796737492,0.0
11962.0,440.5450134,181.7234039,85.1971817,0.88328898,12283.0,0.622858644,
12345.0,448.7690125,180.5204926,88.84284973,0.870511413,12676.0,0.594997108,
10781.0,414.9549866,169.7361755,82.24104309,0.874778628,11069.0,0.699338377,
15448.0,521.3179932,224.8905334,88.73651123,0.918863118,15847.0,0.705388129,0.0
11639.0,432.3869934,178.6948547,83.95451355,0.882761955,11940.0,0.593584239,
11353.0,418.5050049,166.9860077,87.75209045,0.850790083,11587.0,0.641412437,0.0
15809.0,521.4970093,224.5216522,90.6051178,0.914958775,16150.0,0.564607143,0.0
14881.0,495.6180115,206.6678314,93.32417297,0.892237723,15225.0,0.583980858,0.0
14619.0,493.5239868,209.5328827,89.80801392,0.903489351,14973.0,0.612314165,
10132.0,398.6719971,162.8451996,80.07435608,0.87075299,10306.0,0.668911338,0.0
12861.0,455.8659973,191.8227539,86.29828644,0.893086195,13058.0,0.58672446,0.0
14461.0,483.5660095,202.3530579,91.65203857,0.891545415,14718.0,0.74541235,
